🕘️更新时间,#genre#
2026-01-09 18:25:54,http://k.061899.xyz/k.php?id=cctv5$订阅源

📺央视频道,#genre#
CCTV-5,http://k.061899.xyz/k.php?id=cctv5$订阅源
CCTV-5,http://k.061899.xyz/k.php?id=cctv5$订阅源
CCTV-13,https://cdn3.163189.xyz/163189/cctv13$订阅源
CCTV-13,https://cdn3.163189.xyz/163189/cctv13$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8$订阅源
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8$订阅源

📡卫视频道,#genre#
广东卫视,http://k.061899.xyz/k.php?id=gdws$订阅源
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$订阅源
浙江卫视,http://k.061899.xyz/k.php?id=zjws$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$订阅源
湖南卫视,http://k.061899.xyz/k.php?id=hunws$订阅源
北京卫视,http://k.061899.xyz/k.php?id=bjws$订阅源
湖北卫视,http://k.061899.xyz/k.php?id=hubws$订阅源
黑龙江卫视,https://epg.pw/stream/c6c1262d0b35e59eac22bf513395f00f8b60cc5eab41f598412cdf8269312f32.m3u8$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$订阅源
黑龙江卫视,http://k.061899.xyz/k.php?id=hljws$订阅源
安徽卫视,http://k.061899.xyz/k.php?id=ahws$订阅源
重庆卫视,http://k.061899.xyz/k.php?id=cqws$订阅源
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8$订阅源
东方卫视,http://k.061899.xyz/k.php?id=dfws$订阅源
